workload,gpu,problem_size,best_stage,pred_speedup,w_conc_over_l2,arithmetic_intensity
gemm,A100_MIG_3g40gb,256,1,1.000000,0.025000,16.000000
gemm,A100_MIG_3g40gb,512,1,1.000000,0.100000,16.000000
gemm,A100_MIG_3g40gb,1024,1,1.000000,0.328125,16.000000
gemm,A100_MIG_3g40gb,2048,1,1.000000,0.328125,16.000000
gemm,A100_MIG_3g40gb,3072,1,1.000000,0.328125,16.000000
gemm,A100_MIG_3g40gb,4096,1,1.000000,0.328125,16.000000
gemm,A100_MIG_3g40gb,6144,1,1.000000,0.328125,16.000000
gemm,A100_MIG_3g40gb,8192,1,1.000000,0.328125,16.000000
gemm,A40,256,1,1.000000,0.083333,16.000000
gemm,A40,512,1,1.000000,0.333333,16.000000
gemm,A40,1024,1,1.000000,1.312500,16.000000
gemm,A40,2048,1,1.000000,1.312500,16.000000
gemm,A40,3072,1,1.000000,1.312500,16.000000
gemm,A40,4096,1,1.000000,1.312500,16.000000
gemm,A40,6144,1,1.000000,1.312500,16.000000
gemm,A40,8192,1,1.000000,1.312500,16.000000
gemm,H100_SXM5,256,1,1.000000,0.010000,16.000000
gemm,H100_SXM5,512,1,1.000000,0.040000,16.000000
gemm,H100_SXM5,1024,1,1.000000,0.160000,16.000000
gemm,H100_SXM5,2048,1,1.000000,0.577500,16.000000
gemm,H100_SXM5,3072,1,1.000000,0.577500,16.000000
gemm,H100_SXM5,4096,1,1.000000,0.577500,16.000000
gemm,H100_SXM5,6144,1,1.000000,0.577500,16.000000
gemm,H100_SXM5,8192,1,1.000000,0.577500,16.000000
gemm,V100,256,1,1.000000,0.083333,16.000000
gemm,V100,512,1,1.000000,0.333333,16.000000
gemm,V100,1024,1,1.000000,1.250000,16.000000
gemm,V100,2048,1,1.000000,1.250000,16.000000
gemm,V100,3072,1,1.000000,1.250000,16.000000
gemm,V100,4096,1,1.000000,1.250000,16.000000
gemm,V100,6144,1,1.000000,1.250000,16.000000
gemm,V100,8192,1,1.000000,1.250000,16.000000
