gpu,size_bytes,elements,stride,iterations,cycles_per_load,ns_per_load,stream_bandwidth_gbps
V100,1048576,262144,32,4194304,209.008062,151.455117,29.204990
V100,2097152,524288,32,4194304,208.916739,151.388942,29.362007
V100,3145728,786432,32,4194304,208.966435,151.424953,29.432335
V100,4194304,1048576,32,4194304,208.967000,151.425362,29.467213
V100,6291456,1572864,32,4194304,209.341880,151.697014,44.161726
V100,8388608,2097152,32,4194304,412.797802,299.128842,58.855861
V100,10485760,2621440,32,4194304,412.226227,298.714657,73.569826
V100,12582912,3145728,32,4194304,413.111714,299.356314,88.283791
V100,16777216,4194304,32,4194304,413.049629,299.311325,117.657241
V100,20971520,5242880,32,4194304,412.733679,299.082376,139.260519
V100,25165824,6291456,32,4194304,412.751165,299.095047,166.970700
V100,29360128,7340032,32,4194304,412.826679,299.149767,205.442006
V100,33554432,8388608,32,4194304,412.712821,299.067262,234.161674
V100,37748736,9437184,32,4194304,412.760443,299.101770,249.713796
V100,41943040,10485760,32,4194304,412.727726,299.078063,292.571421
V100,1048576,262144,32,4194304,221.200399,160.290144,29.204990
V100,2097152,524288,32,4194304,221.191715,160.283851,29.362007
V100,3145728,786432,32,4194304,221.209267,160.296570,29.414721
V100,4194304,1048576,32,4194304,221.208332,160.295893,29.454383
V100,6291456,1572864,32,4194304,221.625236,160.597997,44.161726
V100,8388608,2097152,32,4194304,425.254145,308.155177,58.882301
V100,10485760,2621440,32,4194304,424.464935,307.583286,73.569826
V100,12582912,3145728,32,4194304,425.254562,308.155479,88.244166
V100,16777216,4194304,32,4194304,425.248837,308.151331,117.606103
V100,20971520,5242880,32,4194304,425.256684,308.157017,139.201360
V100,25165824,6291456,32,4194304,425.243557,308.147505,166.902040
V100,29360128,7340032,32,4194304,425.265443,308.163364,205.166366
V100,33554432,8388608,32,4194304,425.258472,308.158313,234.158411
V100,37748736,9437184,32,4194304,425.234853,308.141198,249.713796
V100,41943040,10485760,32,4194304,425.256992,308.157241,292.180105
V100,50331648,12582912,32,4194304,425.251558,308.153303,331.827864
V100,58720256,14680064,32,4194304,425.254227,308.155237,387.295887
V100,67108864,16777216,32,4194304,425.248548,308.151122,441.877809
V100,83886080,20971520,32,4194304,425.247694,308.150503,548.877717
V100,100663296,25165824,32,4194304,425.257452,308.157574,652.911595
V100,101711872,25427968,32,4194304,425.251429,308.153209,659.986727
V100,102760448,25690112,32,4194304,425.250460,308.152507,665.417644
V100,103809024,25952256,32,4194304,425.250416,308.152476,673.874551
V100,104857600,26214400,32,4194304,425.244547,308.148222,678.426502
V100,105906176,26476544,32,4194304,425.242959,308.147071,689.206196
V100,106954752,26738688,32,4194304,424.449680,307.572232,700.699371
V100,108003328,27000832,32,4194304,425.243533,308.147488,715.974538
V100,109051904,27262976,32,4194304,425.246072,308.149328,734.455182
V100,110100480,27525120,32,4194304,425.242662,308.146857,715.597991
V100,111149056,27787264,32,4194304,425.240284,308.145133,712.055777
V100,112197632,28049408,32,4194304,425.234692,308.141081,708.318388
V100,113246208,28311552,32,4194304,425.234927,308.141252,707.788816
V100,114294784,28573696,32,4194304,425.239887,308.144846,698.965194
V100,115343360,28835840,32,4194304,425.246708,308.149789,700.170929
V100,116391936,29097984,32,4194304,425.231363,308.138669,706.836494
V100,117440512,29360128,32,4194304,425.245229,308.148717,708.223869
V100,134217728,33554432,32,4194304,425.245795,308.149126,631.084211
